nr_conta;dt_interface;dt_movimentacao;mercado;sub_mercado;produto;ativo;emissor;indexador;cnpj_fundo;cge_fundo;tipo;tipo_opcao;quantidade;vl_custo;vl_bruto;vl_ir;vl_iof;vl_taxa;vl_taxa_compra;taxa_indexador;vl_preco_mercado;vl_preco_compra;vl_premio;vl_exercicio;vl_liquido;quantidade_contrato;vl_contrato;dt_aquisicao;dt_exercicio;dt_vencimento;vl_futuro_nao_compoem_pl;vl_aluguel_nao_compoem_pl;visualizacao_cliente;vl_bruto_curva_cliente;ir_curva_cliente;iof_curva_cliente;vl_liquido_curva_cliente;vl_bruto_curva_mercado;ir_curva_mercado;iof_curva_mercado;vl_liquido_curva_mercado;cod_certificado;tipo_previdencia
004432695;2026-06-17;2026-06-17;RENDA FIXA;PRIVADO;CRA;CRA-CRA022007EP;KLABIN;100% IPCA;;;;;10;11147.860000000001;11268.24;0;0;7.29;7.29;IPCA;;;;1126.8247836400001;11268.24;;;2025-08-01;;2034-05-15;0;0;Precificação na Curva Mercado;11560.5417631;0;0;11560.5417631;11268.247836400002;0;0;11268.247836400002;;
005047408;2026-06-17;2026-06-17;RENDA FIXA;TITULO PUBLICO;NTN-B;NTNB;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;24;103143.74000000001;101733.98000000001;35.509999999999998;0;7.54;7.54;IPCA;;;;4238.9162159999996;101698.47;;;2026-02-11;;2033-05-15;0;0;Precificação na Curva Mercado;105351.80548799998;849.52187099999992;0;104502.28361699998;101733.98918399999;35.5132026;0;101698.47598139998;;
008318052;2026-06-17;2026-06-17;RENDA FIXA;DESCONHECIDO;DEBÊNTURE;DEB-CGOS13;EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S/A;100% IPCA;;;;;7;7685.96;7830.4600000000009;0;0;7.3099999999999996;7.3099999999999996;IPCA;;;;1118.6372739999999;7830.4600000000009;;;2025-05-30;;2031-04-15;0;0;Precificação na Curva Mercado;8091.4262039099995;0;0;8091.4262039099995;7830.4609179999998;0;0;7830.4609179999998;;
008318052;2026-06-17;2026-06-17;RENDA FIXA;TITULO PUBLICO;NTN-B;NTNB;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;5;21149.240000000002;20967.579999999998;0;0;7.4500000000000002;7.21;IPCA;;;;4193.5165139999999;20967.579999999998;;;2025-12-01;;2035-05-15;0;0;Precificação na Curva Mercado;22036.744849999999;187.01189099999999;0;21849.732959000001;20967.582569999999;0;0;20967.582569999999;;
008324834;2026-06-17;2026-06-17;RENDA FIXA;TITULO PUBLICO;NTN-B;NTNB;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;9;38836.169999999998;37741.639999999999;0;0;7.3499999999999996;7.3499999999999996;IPCA;;;;4193.5165139999999;37741.639999999999;;;2026-03-05;;2035-05-15;0;0;Precificação na Curva Mercado;39311.381313000005;272.71672920000003;0;39038.664583800004;37741.648626000002;0;0;37741.648626000002;;
003598080;2026-06-17;2026-06-17;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - NTN-B-P;NTNB-P;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;28;33197.639999999999;34984.040000000001;267.95999999999998;0;5.9800000000000004;5.9800000000000004;IPCA;;;;1249.4300000000001;34716.080000000002;;;2023-09-28;;2045-05-15;0;0;Precificação na Curva Cliente;;;;;34984.040000000001;267.96000000000004;0;34716.080000000002;;
008595718;2026-06-17;2026-06-17;RENDA FIXA;TITULO PUBLICO;NTN-B;NTNB;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;5;21076.32;21589.610000000001;205.91999999999999;0;7.4800000000000004;7.5300000000000002;IPCA;;;;4317.9220160000004;21383.689999999999;;;2025-10-06;;2035-05-15;0;0;Precificação na Curva Cliente;21589.610080000002;205.92244199999999;0;21383.687638000003;20967.582569999999;81.516940000000005;0;20886.065629999997;;
004432695;2026-06-17;2026-06-17;RENDA FIXA;TITULO PUBLICO;NTN-B;NTNB;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;16;67928.139999999999;67096.259999999995;139.53;0;7.4900000000000002;7.3700000000000001;IPCA;;;;4193.5165139999999;66956.73000000001;;;2025-09-25;;2035-05-15;0;0;Precificação na Curva Mercado;69797.397440000001;679.75785599999995;0;69117.639584000004;67096.264223999999;139.53121279999999;0;66956.733011200005;;
009139755;2026-06-17;2026-06-17;RENDA FIXA;TITULO PUBLICO;NTN-B;NTNB;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;24;102287.91;106580.42;914.33000000000004;0;7.3200000000000003;7.3200000000000003;IPCA;;;;4440.85095;105666.09;;;2025-12-03;;2033-05-15;0;0;Precificação na Curva Cliente;106580.4228;914.3308320000001;0;105666.09196799999;101733.98918399999;0;0;101733.98918399999;;
008303197;2026-06-16;2026-06-16;RENDA VARIÁVEL;ACAO;JDCO34;JDCO34;;;;;JD COM      DRN;;2750;;66165;0;;;;;24.059999999999999;;;24.059999999999999;66165;;;;;;0;0;;;;;;;;;;;
